Grupo;Ventas;SubTotal;Impuestos;Total;SubTotal Coste;Beneficio
28/05/2022;125;830,19;86,01;916,21;15,31;814,88
29/05/2022;151;991,78;101,37;1093,14;21,7;970,08
31/05/2022;104;546,04;56,27;602,31;11,97;534,07
01/06/2022;106;582,48;59,69;642,17;15,32;567,16
02/06/2022;101;496,28;50,37;546,65;12,04;484,24
03/06/2022;140;734,92;75,69;810,61;12,3;722,62
04/06/2022;121;830,63;84,48;915,11;11,4;819,23
05/06/2022;173;1115,57;112,53;1228,1;7,06;1108,51
06/06/2022;27;161,95;16,2;178,15;0,52;161,43
07/06/2022;103;559,5;59,33;618,83;17,88;541,62
08/06/2022;101;522,17;53,38;575,55;14,72;507,45
09/06/2022;132;643,64;65,26;708,9;14,36;629,28
10/06/2022;151;849,78;86,44;936,22;20,57;829,21
11/06/2022;143;970,24;101,25;1071,49;16,07;954,17
12/06/2022;133;909,19;92,97;1002,17;11,36;897,83
14/06/2022;125;660,76;67,56;728,32;14,39;646,37
15/06/2022;102;657,6;66,75;724,35;8,63;648,97
16/06/2022;110;613,13;62,48;675,62;11,73;601,4
17/06/2022;142;806,14;81,61;887,76;6,27;799,87
18/06/2022;128;909,48;91,46;1000,93;11,79;897,69
19/06/2022;177;1072,35;107,77;1180,12;7,73;1064,62
20/06/2022;50;280,14;28,01;308,15;7,2;272,94
21/06/2022;88;438,13;43,81;481,94;2,62;435,51
22/06/2022;97;490,77;49,58;540,35;7,88;482,89
23/06/2022;74;479,95;48;527,95;5,1;474,85
24/06/2022;141;768,01;77,49;845,5;4,17;763,84
25/06/2022;113;842,05;86,16;928,21;12,76;829,29
26/06/2022;165;1211,11;125,64;1336,75;18,82;1192,29
27/06/2022;72;426,22;43,28;469,5;8,51;417,71
28/06/2022;104;628,65;63,4;692,05;2,53;626,12
29/06/2022;110;679,4;68,2;747,6;9,95;669,45
30/06/2022;113;590,29;59,31;649,6;6,92;583,37
01/07/2022;127;700,98;72,61;773,59;10,82;690,16
02/07/2022;104;809,89;83,86;893,75;17,82;792,07
03/07/2022;122;840,12;87,78;927,9;10,35;829,77
04/07/2022;68;460,67;46,78;507,45;6,23;454,44
05/07/2022;84;445,9;44,35;490,25;2,55;443,35
06/07/2022;87;461,63;46,58;508,21;7,08;454,55
07/07/2022;97;588,44;60,26;648,7;7,19;581,25
08/07/2022;125;721,29;72,93;794,22;4,52;716,77
09/07/2022;95;619,06;62,17;681,22;6,15;612,91
10/07/2022;121;790,97;79,49;870,46;5,89;785,08
